,날짜,doller_index
0,1995년 1월,88.03
1,1995년 2월,85.92
2,1995년 3월,82.08
3,1995년 4월,81.92
4,1995년 5월,82.67
5,1995년 6월,81.73
6,1995년 7월,81.69
7,1995년 8월,85.61
8,1995년 9월,84.44
9,1995년 10월,83.72
10,1995년 11월,85.37
11,1995년 12월,84.83
12,1996년 1월,87.43
13,1996년 2월,86.32
14,1996년 3월,86.44
15,1996년 4월,87.98
16,1996년 5월,87.8
17,1996년 6월,87.65
18,1996년 7월,85.76
19,1996년 8월,86.34
20,1996년 9월,87.72
21,1996년 10월,87.28
22,1996년 11월,87.88
23,1996년 12월,87.86
24,1997년 1월,92.92
25,1997년 2월,94.9
26,1997년 3월,94.47
27,1997년 4월,97.0
28,1997년 5월,94.77
29,1997년 6월,95.4
30,1997년 7월,99.5
31,1997년 8월,99.0
32,1997년 9월,96.92
33,1997년 10월,95.4
34,1997년 11월,97.81
35,1997년 12월,99.57
36,1998년 1월,100.68
37,1998년 2월,99.76
38,1998년 3월,101.37
39,1998년 4월,99.59
40,1998년 5월,100.43
41,1998년 6월,100.98
42,1998년 7월,101.09
43,1998년 8월,100.13
44,1998년 9월,96.02
45,1998년 10월,93.62
46,1998년 11월,96.18
47,1998년 12월,93.96
48,1999년 1월,96.04
49,1999년 2월,98.69
50,1999년 3월,99.92
51,1999년 4월,100.89
52,1999년 5월,102.51
53,1999년 6월,102.53
54,1999년 7월,99.54
55,1999년 8월,99.86
56,1999년 9월,98.2
57,1999년 10월,98.93
58,1999년 11월,101.91
59,1999년 12월,101.53
60,2000년 1월,104.97
61,2000년 2월,105.88
62,2000년 3월,105.16
63,2000년 4월,109.99
64,2000년 5월,108.69
65,2000년 6월,106.58
66,2000년 7월,109.37
67,2000년 8월,112.57
68,2000년 9월,113.0
69,2000년 10월,116.62
70,2000년 11월,115.1
71,2000년 12월,109.28
72,2001년 1월,110.53
73,2001년 2월,112.0
74,2001년 3월,117.63
75,2001년 4월,115.95
76,2001년 5월,119.19
77,2001년 6월,119.75
78,2001년 7월,117.39
79,2001년 8월,113.54
80,2001년 9월,113.96
81,2001년 10월,115.15
82,2001년 11월,115.55
83,2001년 12월,117.21
84,2002년 1월,120.59
85,2002년 2월,119.28
86,2002년 3월,119.06
87,2002년 4월,115.4
88,2002년 5월,111.91
89,2002년 6월,106.55
90,2002년 7월,107.7
91,2002년 8월,106.87
92,2002년 9월,107.26
93,2002년 10월,106.82
94,2002년 11월,106.5
95,2002년 12월,102.26
96,2003년 1월,100.14
97,2003년 2월,99.81
98,2003년 3월,99.49
99,2003년 4월,97.38
100,2003년 5월,93.31
101,2003년 6월,95.11
102,2003년 7월,97.14
103,2003년 8월,98.1
104,2003년 9월,93.2
105,2003년 10월,92.88
106,2003년 11월,90.28
107,2003년 12월,87.26
108,2004년 1월,87.42
109,2004년 2월,87.42
110,2004년 3월,87.95
111,2004년 4월,90.68
112,2004년 5월,88.98
113,2004년 6월,89.0
114,2004년 7월,90.11
115,2004년 8월,88.96
116,2004년 9월,87.51
117,2004년 10월,84.98
118,2004년 11월,81.82
119,2004년 12월,81.0
120,2005년 1월,83.64
121,2005년 2월,82.51
122,2005년 3월,84.05
123,2005년 4월,84.42
124,2005년 5월,87.8
125,2005년 6월,88.98
126,2005년 7월,89.23
127,2005년 8월,87.54
128,2005년 9월,89.35
129,2005년 10월,89.93
130,2005년 11월,91.51
131,2005년 12월,90.96
132,2006년 1월,88.81
133,2006년 2월,90.08
134,2006년 3월,89.39
135,2006년 4월,85.88
136,2006년 5월,84.65
137,2006년 6월,84.9
138,2006년 7월,85.09
139,2006년 8월,85.02
140,2006년 9월,85.68
141,2006년 10월,85.11
142,2006년 11월,82.85
143,2006년 12월,83.43
144,2007년 1월,84.43
145,2007년 2월,83.5
146,2007년 3월,82.66
147,2007년 4월,81.3
148,2007년 5월,82.25
149,2007년 6월,81.69
150,2007년 7월,80.66
151,2007년 8월,80.745
152,2007년 9월,77.625
153,2007년 10월,76.46
154,2007년 11월,76.17
155,2007년 12월,76.7
156,2008년 1월,75.285
157,2008년 2월,73.75
158,2008년 3월,72.165
159,2008년 4월,72.72
160,2008년 5월,72.95
161,2008년 6월,72.8
162,2008년 7월,73.42
163,2008년 8월,77.5
164,2008년 9월,79.36
165,2008년 10월,86.345
166,2008년 11월,86.705
167,2008년 12월,82.15
168,2009년 1월,86.46
169,2009년 2월,88.15
170,2009년 3월,85.895
171,2009년 4월,84.775
172,2009년 5월,79.43
173,2009년 6월,80.425
174,2009년 7월,78.45
175,2009년 8월,78.22
176,2009년 9월,76.86
177,2009년 10월,76.475
178,2009년 11월,74.935
179,2009년 12월,78.22
180,2010년 1월,79.65
181,2010년 2월,80.44
182,2010년 3월,81.291
183,2010년 4월,81.991
184,2010년 5월,86.67
185,2010년 6월,86.281
186,2010년 7월,81.655
187,2010년 8월,83.254
188,2010년 9월,78.938
189,2010년 10월,77.457
190,2010년 11월,81.271
