,period,us_dollar,kor_won
0,1995-01-31,374.9,295945.86
1,1995-02-28,376.4,297224.05
2,1995-03-31,392.0,302663.14
3,1995-04-28,389.75,297125.86
4,1995-05-31,384.3,291241.55
5,1995-06-30,387.05,293480.51
6,1995-07-31,383.35,290214.84
7,1995-08-31,382.35,295632.89
8,1995-09-29,384.0,294988.78
9,1995-10-31,382.65,292784.44
10,1995-11-30,387.8,298857.79
11,1995-12-29,387.0,300215.25
12,1996-01-31,405.55,318457.98
13,1996-02-29,400.65,313528.41
14,1996-03-29,396.35,310044.67
15,1996-04-30,391.3,304529.07
16,1996-05-31,390.55,307733.7
17,1996-06-28,382.0,309878.38
18,1996-07-31,385.3,313210.08
19,1996-08-30,386.45,316599.12
20,1996-09-30,379.0,313054.0
21,1996-10-31,379.5,313865.31
22,1996-11-29,371.3,307788.96
23,1996-12-31,369.25,312200.88
24,1997-01-31,345.5,298563.71
25,1997-02-28,358.6,309955.73
26,1997-03-31,348.15,311768.24
27,1997-04-30,340.15,303413.71
28,1997-05-30,345.6,308102.27
29,1997-06-30,334.55,297080.23
30,1997-07-31,326.35,290451.37
31,1997-08-29,325.35,293628.24
32,1997-09-30,332.1,303688.7
33,1997-10-31,311.4,300438.49
34,1997-11-28,296.8,347107.37
35,1997-12-31,290.2,491888.92
36,1998-01-30,304.85,464591.18
37,1998-02-27,297.4,485654.04
38,1998-03-31,301.0,416885.0
39,1998-04-30,310.7,415250.49
40,1998-05-29,293.6,413241.79
41,1998-06-30,296.3,406819.63
42,1998-07-31,288.85,355429.75
43,1998-08-31,273.4,369226.57
44,1998-09-30,293.85,408671.68
45,1998-10-30,292.3,385689.59
46,1998-11-30,294.7,367196.14
47,1998-12-31,287.8,346079.27
48,1999-01-29,285.4,335344.89
49,1999-02-26,287.05,351205.44
50,1999-03-31,279.45,342885.09
51,1999-04-30,286.6,340623.93
52,1999-05-31,268.6,318653.4
53,1999-06-30,261.0,302107.5
54,1999-07-30,255.6,307614.59
55,1999-08-31,254.8,300791.39
56,1999-09-30,299.0,363733.5
57,1999-10-29,299.1,358770.27
58,1999-11-30,291.35,337747.32
59,1999-12-31,290.25,328795.14
60,2000-01-31,283.3,318287.33
61,2000-02-29,293.65,332148.87
62,2000-03-31,276.75,305877.94
63,2000-04-28,275.05,305236.52
64,2000-05-31,272.25,307506.38
65,2000-06-30,288.15,321294.32
66,2000-07-31,276.75,309060.56
67,2000-08-31,277.0,307123.75
68,2000-09-29,273.65,305160.66
69,2000-10-31,264.5,300868.75
70,2000-11-30,269.1,327090.87
71,2000-12-29,274.45,347179.19
72,2001-01-31,264.5,332476.5
73,2001-02-28,266.7,334468.37
74,2001-03-30,257.7,342998.64
75,2001-04-30,263.15,346568.42
76,2001-05-31,267.5,342667.5
77,2001-06-29,270.6,351915.11
78,2001-07-31,265.9,345138.07
79,2001-08-31,273.0,348757.5
80,2001-09-28,293.1,383814.26
81,2001-10-31,278.75,360981.25
82,2001-11-30,275.5,350697.71
83,2001-12-31,276.5,363182.75
84,2002-01-31,282.3,371054.84
85,2002-02-28,296.85,392999.49
86,2002-03-29,301.4,399942.59
87,2002-04-30,308.2,398826.09
88,2002-05-31,326.6,400476.72
89,2002-06-28,318.5,383155.5
90,2002-07-31,304.65,361951.46
91,2002-08-30,312.8,375969.71
92,2002-09-30,323.7,397422.62
93,2002-10-31,316.9,386142.53
94,2002-11-29,319.05,385651.45
95,2002-12-31,347.2,411796.43
96,2003-01-31,367.5,427770.0
97,2003-02-28,347.45,414733.6
98,2003-03-31,334.85,420052.38
99,2003-04-30,336.75,409151.25
100,2003-05-30,361.4,435848.28
101,2003-06-30,346.0,413297.0
102,2003-07-31,354.75,418782.38
103,2003-08-29,375.6,442550.53
104,2003-09-30,388.0,446258.16
105,2003-10-31,386.25,457126.88
106,2003-11-28,398.35,478836.36
107,2003-12-31,416.25,495961.88
108,2004-01-30,399.75,469106.63
109,2004-02-27,395.85,465519.43
110,2004-03-31,423.7,485750.79
111,2004-04-30,388.5,455846.42
112,2004-05-31,393.25,458116.57
113,2004-06-30,395.8,457346.67
114,2004-07-30,391.4,457742.19
115,2004-08-31,407.25,469090.85
116,2004-09-30,415.65,478620.86
117,2004-10-29,425.55,476403.01
118,2004-11-30,453.4,475389.8
119,2004-12-31,435.6,450932.95
120,2005-01-31,422.15,432914.73
121,2005-02-28,435.45,438280.38
122,2005-03-31,427.5,434126.25
123,2005-04-29,435.7,434436.36
124,2005-05-31,414.45,417972.78
125,2005-06-30,437.1,451742.7
126,2005-07-29,429.0,440454.28
127,2005-08-31,433.25,450796.63
128,2005-09-30,473.25,492889.88
129,2005-10-31,470.75,489674.13
130,2005-11-30,495.65,512254.17
131,2005-12-30,513.0,518565.98
132,2006-01-31,568.75,548644.63
133,2006-02-28,556.0,539876.0
134,2006-03-31,582.0,565500.24
135,2006-04-28,644.0,607420.77
136,2006-05-31,653.0,617542.07
137,2006-06-30,613.5,582027.42
138,2006-07-31,632.5,604480.22
139,2006-08-31,623.5,599495.25
140,2006-09-29,599.25,567190.13
141,2006-10-31,603.75,568853.22
142,2006-11-30,646.7,601010.51
143,2006-12-29,632.0,587760.0
144,2007-01-31,650.5,612445.75
145,2007-02-28,664.2,625477.06
146,2007-03-30,661.75,622441.95
147,2007-04-30,677.0,629948.5
148,2007-05-31,659.1,611974.21
149,2007-06-29,650.5,600996.89
150,2007-07-31,665.5,611794.02
151,2007-08-31,672.0,630504.0
152,2007-09-28,743.0,679956.38
153,2007-10-31,789.5,711102.61
