,﻿월,유종,Dubai,Oman,Brent,WTI
0,96년 01월,,16.59,17.18,-,-
1,02월,,15.93,16.65,-,-
2,03월,,17.0,17.59,-,-
3,04월,,17.69,18.48,-,-
4,05월,,16.91,17.83,-,-
5,06월,,17.29,18.0,-,-
6,07월,,17.82,18.66,-,-
7,08월,,18.66,19.5,-,-
8,09월,,20.45,21.22,-,-
9,10월,,21.77,22.34,-,-
10,11월,,20.95,21.59,-,-
11,12월,,21.79,22.57,-,-
12,97년 01월,,21.38,22.38,-,-
13,02월,,18.7,19.71,-,-
14,03월,,18.13,19.07,-,-
15,04월,,16.7,17.62,-,-
16,05월,,18.56,19.18,-,-
17,06월,,17.32,17.74,-,-
18,07월,,17.39,17.54,-,-
19,08월,,17.77,17.9,-,-
20,09월,,18.0,18.14,-,-
21,10월,,19.2,19.28,-,-
22,11월,,18.48,18.61,-,-
23,12월,,16.36,16.52,-,-
24,98년 01월,,13.45,13.46,15.62,16.73
25,02월,,12.37,12.45,14.69,16.08
26,03월,,11.52,11.59,13.76,15.04
27,04월,,12.29,12.33,14.12,15.46
28,05월,,12.8,12.7,14.45,14.93
29,06월,,11.78,11.8,13.41,13.67
30,07월,,12.16,12.11,12.99,14.09
31,08월,,12.28,12.1,12.33,13.38
32,09월,,13.13,12.7,13.63,14.97
33,10월,,12.82,12.28,13.18,14.41
34,11월,,11.85,11.34,11.83,13.04
35,12월,,10.13,9.84,10.19,11.31
36,99년 01월,,10.77,10.44,11.08,12.49
37,02월,,10.06,9.93,10.53,12.02
38,03월,,12.42,12.12,12.88,14.68
39,04월,,15.01,14.84,15.47,17.30
40,05월,,15.42,15.42,15.83,17.77
41,06월,,15.49,15.6,16.21,17.92
42,07월,,17.91,17.92,18.78,20.10
43,08월,,19.5,19.6,20.44,21.28
44,09월,,21.94,21.95,22.84,23.79
45,10월,,21.5,21.73,22.24,22.67
46,11월,,23.12,23.4,24.24,24.77
47,12월,,23.66,24.75,25.16,26.07
48,00년 01월,,23.43,24.63,25.22,27.01
49,02월,,24.72,25.7,27.03,29.30
50,03월,,25.05,25.92,27.27,29.89
51,04월,,22.19,23.21,23.14,25.54
52,05월,,25.81,25.98,27.48,28.81
53,06월,,27.3,28.14,29.76,31.53
54,07월,,26.11,26.92,28.67,29.72
55,08월,,27.08,27.8,30.23,31.14
56,09월,,30.01,30.58,32.33,33.87
57,10월,,30.51,29.77,31.39,32.93
58,11월,,30.4,29.5,32.38,34.26
59,12월,,22.02,23.13,25.97,28.40
60,01년 01월,,22.93,22.92,25.84,29.26
61,02월,,24.83,24.17,27.63,29.64
62,03월,,23.48,23.17,25.45,27.27
63,04월,,24.22,24.37,26.40,27.62
64,05월,,25.62,26.04,28.58,28.68
65,06월,,25.7,25.75,27.86,27.58
66,07월,,23.5,24.01,25.22,26.47
67,08월,,24.52,24.48,25.76,27.31
68,09월,,24.16,24.53,26.13,25.93
69,10월,,19.72,20.1,21.47,22.21
70,11월,,17.69,17.7,19.21,19.67
71,12월,,17.89,18.09,19.06,19.40
72,02년 01월,,18.54,18.68,19.93,19.73
73,02월,,19.1,19.23,20.32,20.76
74,03월,,23.01,23.24,24.16,24.44
75,04월,,24.57,24.86,25.99,26.26
76,05월,,24.74,25.03,25.67,26.95
77,06월,,23.95,24.26,24.61,25.55
78,07월,,24.66,24.98,25.68,26.94
79,08월,,25.31,25.65,26.35,28.20
80,09월,,26.85,26.98,28.29,29.67
81,10월,,26.32,26.62,27.36,28.86
82,11월,,23.24,23.42,24.26,26.19
83,12월,,25.79,26.27,27.48,29.39
84,03년 01월,,28.13,29.01,30.34,32.70
85,02월,,30.11,30.83,32.18,35.73
86,03월,,27.38,28.19,29.56,33.16
87,04월,,23.52,24.42,24.75,28.14
88,05월,,24.35,25.01,25.45,28.07
89,06월,,25.56,26.15,27.29,30.52
90,07월,,26.75,27.2,28.36,30.70
91,08월,,27.69,28.02,29.44,31.60
92,09월,,25.42,25.98,26.81,28.31
93,10월,,27.25,27.83,28.97,30.35
94,11월,,27.64,27.96,28.81,31.06
95,12월,,28.12,28.48,29.62,32.14
96,04년 01월,,28.86,29.3,30.66,34.22
97,02월,,28.63,28.82,30.34,34.50
98,03월,,30.78,31.1,32.73,36.72
99,04월,,31.53,31.49,32.98,36.62
100,05월,,34.66,34.86,37.20,40.28
101,06월,,33.54,33.77,35.51,38.05
102,07월,,34.74,35.13,37.67,40.81
103,08월,,38.45,38.71,41.75,44.88
104,09월,,35.61,36.73,42.86,45.94
105,10월,,37.99,39.92,49.38,53.09
106,11월,,35.05,36.87,44.57,48.48
107,12월,,34.25,35.57,40.28,43.26
108,05년 01월,,37.97,39.25,44.48,46.85
109,02월,,39.91,41.19,45.86,48.05
110,03월,,45.85,47.34,53.27,54.63
111,04월,,47.21,48.33,53.31,53.22
112,05월,,45.41,46.55,49.67,49.87
113,06월,,51.06,52.07,55.42,56.42
114,07월,,52.84,53.61,57.95,59.03
115,08월,,56.77,57.83,63.80,64.99
116,09월,,56.75,58.66,63.80,65.55
117,10월,,53.95,55.31,59.50,62.27
118,11월,,51.47,52.65,56.23,58.34
119,12월,,53.27,54.33,57.63,59.45
120,06년 01월,,58.45,59.36,63.86,65.54
121,02월,,57.69,58.7,61.14,61.93
122,03월,,57.89,59.38,63.03,62.97
123,04월,,64.22,65.74,70.54,70.16
124,05월,,65.2,66.56,70.98,70.96
125,06월,,65.24,66.39,69.78,70.97
126,07월,,69.16,70.32,74.26,74.46
127,08월,,68.85,70.04,73.90,73.08
128,09월,,59.93,61.17,63.64,63.90
129,10월,,56.58,57.6,59.84,59.14
130,11월,,56.77,57.62,59.86,59.40
131,12월,,58.66,59.38,62.29,62.09
132,07년 01월,,51.75,52.21,54.62,54.35
133,02월,,55.89,56.06,58.80,59.39
134,03월,,58.92,59.4,62.45,60.74
135,04월,,63.98,64.45,67.60,64.04
136,05월,,64.65,65.12,67.86,63.53
137,06월,,65.85,66.31,70.54,67.53
138,07월,,69.68,70.48,75.82,74.15
139,08월,,67.4,68.14,71.24,72.36
140,09월,,73.32,73.47,76.96,79.63
141,10월,,77.23,77.78,82.48,85.66
142,11월,,86.85,87.03,92.20,94.63
143,12월,,85.66,86.58,91.44,91.74
144,08년 01월,,87.24,88.64,91.91,92.93
145,02월,,90.16,90.95,94.66,95.35
146,03월,,96.87,97.83,102.87,105.42
147,04월,,103.62,104.31,110.43,112.46
148,05월,,119.5,119.9,124.68,125.46
149,06월,,127.9,128.46,133.74,134.02
150,07월,,131.31,132.78,134.56,133.48
151,08월,,112.99,113.61,115.24,116.69
152,09월,,96.3,96.53,100.78,103.76
153,10월,,67.65,68.35,73.68,76.72
154,11월,,49.9,50.28,54.75,57.44
155,12월,,40.52,41.14,43.05,42.04
156,09년 01월,,44.12,44.53,45.71,41.92
157,02월,,43.09,43.61,43.87,39.26
158,03월,,45.58,45.96,47.42,48.06
159,04월,,49.99,50.27,51.39,49.95
160,05월,,57.89,58.16,58.59,59.21
161,06월,,69.36,69.54,69.27,69.70
162,07월,,64.97,65.26,65.75,64.29
163,08월,,71.37,71.73,73.06,71.14
164,09월,,67.67,68.26,68.15,69.47
165,10월,,73.17,73.47,73.93,75.82
166,11월,,77.69,77.93,77.58,78.14
167,12월,,75.51,75.58,75.21,74.60
168,10년 01월,,76.75,77.12,77.01,78.40
169,02월,,73.6,74.05,74.79,76.45
170,03월,,77.34,77.81,79.93,81.29
171,04월,,83.64,83.81,85.75,84.58
172,05월,,76.84,77.11,77.00,74.12
173,06월,,74.05,74.25,75.66,75.40
174,07월,,72.61,72.67,75.36,76.38
175,08월,,74.17,74.49,77.11,76.67
176,09월,,75.2,75.5,78.42,75.55
177,10월,,80.28,80.55,83.54,81.97
178,11월,,83.58,83.85,86.16,84.31
179,12월,,88.95,89.14,92.25,89.23
180,11년 01월,,92.55,92.66,96.91,89.58
181,02월,,100.24,100.61,104.03,89.74
182,03월,,108.53,109.0,114.67,102.98
183,04월,,115.76,116.57,123.09,110.04
184,05월,,108.04,108.89,114.52,101.36
185,06월,,107.5,107.9,113.90,96.29
186,07월,,110.15,110.42,116.75,97.34
187,08월,,105.0,105.36,109.93,86.34
188,09월,,105.75,106.65,109.91,85.61
189,10월,,103.54,104.77,108.79,86.43
190,11월,,107.91,109.35,110.49,97.16
191,12월,,105.51,107.28,107.72,98.58
192,12년 01월,,109.52,110.84,111.45,100.32
193,02월,,116.18,117.16,119.06,102.26
194,03월,,122.49,122.92,124.54,106.20
195,04월,,117.34,117.45,120.49,103.35
196,05월,,107.32,107.37,110.29,94.72
197,06월,,94.38,94.49,95.93,82.41
198,07월,,99.09,99.4,102.72,87.93
199,08월,,108.58,108.89,112.68,94.16
200,09월,,111.19,111.31,113.03,94.56
201,10월,,108.97,108.91,111.52,89.57
202,11월,,107.28,107.27,109.53,86.73
203,12월,,106.35,106.36,109.20,88.25
204,13년 01월,,107.93,107.94,112.32,94.83
205,02월,,111.1,111.1,116.07,95.32
206,03월,,105.56,105.55,109.54,92.96
207,04월,,101.69,101.69,103.42,92.07
208,05월,,100.34,100.5,103.28,94.80
209,06월,,100.17,100.33,103.34,95.80
210,07월,,103.55,103.5,107.43,104.70
211,08월,,107.06,107.25,110.45,106.54
212,09월,,107.93,108.57,111.25,106.23
213,10월,,105.58,106.72,109.44,100.55
214,11월,,105.49,105.95,107.90,93.93
215,12월,,107.46,107.9,110.70,97.89
216,14년 01월,,104.01,104.02,107.11,94.86
217,02월,,104.98,105.04,108.83,100.68
