"시점", 선행종합지수(2015=100), 경제심리지수
"1995.01",42.4,-
"1995.02",42.8,-
"1995.03",42.8,-
"1995.04",43.1,-
"1995.05",43.2,-
"1995.06",43.4,-
"1995.07",43.9,-
"1995.08",44.3,-
"1995.09",44.4,-
"1995.10",44.5,-
"1995.11",44.8,-
"1995.12",44.9,-
"1996.01",44.9,-
"1996.02",45.0,-
"1996.03",45.2,-
"1996.04",45.3,-
"1996.05",45.3,-
"1996.06",45.0,-
"1996.07",45.2,-
"1996.08",45.2,-
"1996.09",45.0,-
"1996.10",44.8,-
"1996.11",44.7,-
"1996.12",45.1,-
"1997.01",45.2,-
"1997.02",45.6,-
"1997.03",45.9,-
"1997.04",46.4,-
"1997.05",46.5,-
"1997.06",46.9,-
"1997.07",47.1,-
"1997.08",47.4,-
"1997.09",47.5,-
"1997.10",47.4,-
"1997.11",47.0,-
"1997.12",45.9,-
"1998.01",44.6,-
"1998.02",44.0,-
"1998.03",44.3,-
"1998.04",44.9,-
"1998.05",45.3,-
"1998.06",45.5,-
"1998.07",46.0,-
"1998.08",46.6,-
"1998.09",47.2,-
"1998.10",47.8,-
"1998.11",48.5,-
"1998.12",49.3,-
"1999.01",50.2,-
"1999.02",51.3,-
"1999.03",52.2,-
"1999.04",53.1,-
"1999.05",54.0,-
"1999.06",55.0,-
"1999.07",56.0,-
"1999.08",56.6,-
"1999.09",56.9,-
"1999.10",56.9,-
"1999.11",57.4,-
"1999.12",57.6,-
"2000.01",58.5,-
"2000.02",58.7,-
"2000.03",59.0,-
"2000.04",58.8,-
"2000.05",58.8,-
"2000.06",59.1,-
"2000.07",59.3,-
"2000.08",59.8,-
"2000.09",59.5,-
"2000.10",58.8,-
"2000.11",57.5,-
"2000.12",56.9,-
"2001.01",56.2,-
"2001.02",56.4,-
"2001.03",56.7,-
"2001.04",57.1,-
"2001.05",57.7,-
"2001.06",58.0,-
"2001.07",58.2,-
"2001.08",58.3,-
"2001.09",58.6,-
"2001.10",59.0,-
"2001.11",60.0,-
"2001.12",61.2,-
"2002.01",62.5,-
"2002.02",63.6,-
"2002.03",64.8,-
"2002.04",65.2,-
"2002.05",65.2,-
"2002.06",64.7,-
"2002.07",64.5,-
"2002.08",64.3,-
"2002.09",64.1,-
"2002.10",63.7,-
"2002.11",63.8,-
"2002.12",64.0,-
"2003.01",64.1,101.4
"2003.02",64.1,100.1
"2003.03",64.1,98.5
"2003.04",64.0,97.5
"2003.05",64.0,95.5
"2003.06",64.5,95.8
"2003.07",64.7,94.0
"2003.08",65.2,95.0
"2003.09",65.5,97.0
"2003.10",66.0,99.0
"2003.11",66.2,100.3
"2003.12",66.5,101.5
"2004.01",66.8,103.9
"2004.02",67.2,105.2
"2004.03",67.5,106.1
"2004.04",67.7,106.8
"2004.05",67.6,104.2
"2004.06",67.6,101.3
"2004.07",67.5,97.1
"2004.08",67.4,96.1
"2004.09",67.6,96.5
"2004.10",67.8,96.5
"2004.11",67.9,95.1
"2004.12",68.0,92.7
"2005.01",68.1,92.7
"2005.02",68.5,97.9
"2005.03",69.1,104.7
"2005.04",69.3,109.6
"2005.05",69.3,108.2
"2005.06",69.2,105.3
"2005.07",69.6,101.6
"2005.08",70.1,101.5
"2005.09",70.4,103.0
"2005.10",70.7,105.1
"2005.11",71.1,107.0
"2005.12",71.5,108.9
"2006.01",72.1,112.0
"2006.02",72.3,114.3
"2006.03",72.5,115.9
"2006.04",72.5,116.1
"2006.05",72.7,113.8
"2006.06",72.6,109.7
"2006.07",72.4,105.6
"2006.08",72.3,104.3
"2006.09",72.9,105.1
"2006.10",73.4,107.1
"2006.11",73.8,108.5
"2006.12",73.9,108.6
"2007.01",74.1,107.6
"2007.02",74.4,108.6
"2007.03",74.6,110.6
"2007.04",74.9,113.3
"2007.05",75.1,113.8
"2007.06",75.6,113.7
"2007.07",76.2,113.6
"2007.08",76.5,114.5
"2007.09",76.8,115.5
"2007.10",76.9,115.5
"2007.11",77.2,114.6
"2007.12",77.3,113.0
"2008.01",77.3,111.9
"2008.02",77.1,111.9
"2008.03",77.0,110.4
"2008.04",77.0,109.3
"2008.05",77.1,106.0
"2008.06",76.9,103.4
"2008.07",76.9,98.7
"2008.08",77.0,98.1
"2008.09",77.1,97.8
"2008.10",77.1,94.2
"2008.11",76.8,84.1
"2008.12",76.8,72.1
"2009.01",76.8,67.3
"2009.02",77.4,67.1
"2009.03",78.0,71.1
"2009.04",79.2,78.5
"2009.05",79.9,86.8
"2009.06",80.8,95.1
"2009.07",81.2,98.1
"2009.08",81.6,102.2
"2009.09",82.1,105.7
"2009.10",82.8,109.7
"2009.11",83.5,109.8
"2009.12",84.0,110.0
"2010.01",84.3,110.3
"2010.02",84.4,112.9
"2010.03",84.4,114.5
"2010.04",84.5,115.6
"2010.05",84.7,115.5
"2010.06",85.0,115.3
"2010.07",85.2,114.7
"2010.08",85.2,113.9
"2010.09",85.3,113.6
"2010.10",85.1,112.6
"2010.11",85.2,112.5
"2010.12",85.3,111.7
"2011.01",85.9,111.6
"2011.02",86.2,111.5
"2011.03",86.5,110.8
"2011.04",86.4,111.3
"2011.05",86.5,110.8
"2011.06",86.6,110.3
"2011.07",86.7,108.5
"2011.08",86.7,106.8
"2011.09",86.8,106.1
"2011.10",86.8,104.9
"2011.11",86.8,104.2
"2011.12",86.9,102.3
"2012.01",87.1,101.3
"2012.02",87.7,101.5
"2012.03",88.1,103.5
"2012.04",88.5,106.2
"2012.05",88.5,106.4
"2012.06",88.7,104.7
"2012.07",88.7,100.5
"2012.08",88.8,97.0
"2012.09",88.8,94.8
"2012.10",89.0,93.3
"2012.11",89.3,92.0
"2012.12",89.6,91.3
"2013.01",89.8,92.2
"2013.02",90.1,94.1
"2013.03",90.4,96.4
"2013.04",90.7,97.5
"2013.05",91.0,97.8
"2013.06",91.4,97.2
"2013.07",91.9,96.5
"2013.08",92.3,95.9
"2013.09",92.5,95.8
"2013.10",92.9,96.4
"2013.11",93.3,97.2
"2013.12",93.7,97.7
"2014.01",94.0,98.6
"2014.02",94.3,100.1
"2014.03",94.5,101.1
"2014.04",94.8,101.7
"2014.05",94.9,101.2
"2014.06",95.2,100.0
"2014.07",95.4,97.8
"2014.08",95.8,96.7
"2014.09",96.2,97.7
"2014.10",96.6,97.8
"2014.11",96.9,97.7
"2014.12",97.2,96.4
"2015.01",97.8,97.1
"2015.02",98.2,98.8
"2015.03",98.7,100.3
"2015.04",99.2,102.0
"2015.05",99.6,101.7
"2015.06",99.9,98.7
"2015.07",100.2,96.1
"2015.08",100.5,94.4
"2015.09",101.1,96.0
"2015.10",101.4,96.5
"2015.11",101.7,96.5
"2015.12",101.7,95.7
"2016.01",101.7,94.6
"2016.02",101.8,93.1
"2016.03",102.1,93.2
"2016.04",102.5,94.3
"2016.05",102.9,95.1
"2016.06",103.2,95.4
"2016.07",103.6,95.1
"2016.08",104.1,96.0
"2016.09",104.6,96.9
"2016.10",105.1,97.0
"2016.11",105.6,96.3
"2016.12",106.1,95.2
"2017.01",106.6,95.1
"2017.02",107.2,95.9
"2017.03",107.6,97.9
"2017.04",108.1,99.1
"2017.05",108.4,100.1
"2017.06",108.9,100.1
"2017.07",109.3,99.9
"2017.08",109.8,99.7
"2017.09",110.1,99.4
"2017.10",110.4,100.4
"2017.11",110.7,101.0
"2017.12",110.8,101.9
"2018.01",111.2,101.0
"2018.02",111.5,100.7
"2018.03",111.8,99.4
"2018.04",111.8,99.5
"2018.05",112.1,99.7
"2018.06",112.3,100.5
"2018.07",112.5,99.1
"2018.08",112.4,97.4
"2018.09",112.6,97.1
"2018.10",112.6,96.9
"2018.11",112.7,96.1
"2018.12",112.6,94.6
"2019.01",112.8,93.5
"2019.02",113.0,94.5
"2019.03",113.4,95.2
"2019.04",113.7,97.0
"2019.05",113.7,95.9
"2019.06",113.7,95.4
"2019.07",113.7,93.5
"2019.08",114.0,92.6
"2019.09",114.4,92.3
"2019.10",115.1,92.7
"2019.11",115.8,93.7
"2019.12",116.6,94.0
"2020.01",116.9,95.4
"2020.02",117.2,94.0
"2020.03",117.0,85.4
"2020.04",117.1,73.7
"2020.05",117.1,65.2
"2020.06",117.8,65.0
"2020.07",118.5,70.0
"2020.08",119.5,76.4
"2020.09",120.3,79.4
"2020.10",121.0,83.1
"2020.11",122.0,85.9
"2020.12",122.7,88.6
"2021.01",123.4,89.9
"2021.02",124.1,91.5
"2021.03",124.8,96.7
"2021.04",125.6,100.9
"2021.05",126.4,103.9
"2021.06",127.1,106.6
"2021.07",127.4,106.1
"2021.08",127.5,106.1
"2021.09",127.5,104.5
"2021.10",127.5,105.0
"2021.11",127.4,105.4
"2021.12",127.7,105.4
"2022.01",128.0,105.4
"2022.02",128.0,105.3
"2022.03",128.1,104.9
"2022.04",128.3,104.9
"2022.05",128.8,105.3
"2022.06 p)",129.2,105.0
"2022.07 p)",129.4,102.3
"2022.08 p)",129.5,99.9
