,연월,미국_금리(%),일본_금리(%),중국_금리(%),한국_금리(%)
0,1995/01,5.5,1.75,12.06,14.01
1,1995/02,6.0,1.75,12.06,14.01
2,1995/03,6.0,1.75,12.06,14.01
3,1995/04,6.0,1.0,12.06,14.01
4,1995/05,6.0,1.0,12.06,13.51
5,1995/06,6.0,1.0,12.06,13.51
6,1995/07,5.75,1.0,12.06,13.51
7,1995/08,5.75,1.0,12.06,13.51
8,1995/09,5.75,0.5,12.06,13.51
9,1995/10,5.75,0.5,12.06,13.51
10,1995/11,5.75,0.5,12.06,13.51
11,1995/12,5.5,0.5,12.06,13.51
12,1996/01,5.25,0.5,12.06,13.51
13,1996/02,5.25,0.5,12.06,13.51
14,1996/03,5.25,0.5,12.06,13.51
15,1996/04,5.25,0.5,12.06,13.51
16,1996/05,5.25,0.5,10.98,13.51
17,1996/06,5.25,0.5,10.98,13.51
18,1996/07,5.25,0.5,10.98,13.51
19,1996/08,5.25,0.5,10.08,13.51
20,1996/09,5.25,0.5,10.08,13.51
21,1996/10,5.25,0.5,10.08,13.51
22,1996/11,5.25,0.5,10.08,13.51
23,1996/12,5.25,0.5,10.08,13.51
24,1997/01,5.25,0.5,10.08,13.51
25,1997/02,5.25,0.5,10.08,13.51
26,1997/03,5.5,0.5,10.08,13.51
27,1997/04,5.5,0.5,10.08,13.51
28,1997/05,5.5,0.5,10.08,13.51
29,1997/06,5.5,0.5,10.08,12.45
30,1997/07,5.5,0.5,10.08,12.45
31,1997/08,5.5,0.5,10.08,12.45
32,1997/09,5.5,0.5,10.08,12.45
33,1997/10,5.5,0.5,8.64,12.45
34,1997/11,5.5,0.5,8.64,12.45
35,1997/12,5.5,0.5,8.64,12.45
36,1998/01,5.5,0.5,8.64,25.63
37,1998/02,5.5,0.5,8.64,25.63
38,1998/03,5.5,0.5,7.92,25.63
39,1998/04,5.5,0.5,7.92,25.63
40,1998/05,5.5,0.5,7.92,25.63
41,1998/06,5.5,0.5,7.92,18.45
42,1998/07,5.5,0.5,6.93,18.45
43,1998/08,5.5,0.5,6.93,9.53
44,1998/09,5.25,0.25,6.93,9.53
45,1998/10,5.0,0.25,6.93,9.53
46,1998/11,4.75,0.25,6.93,9.53
47,1998/12,4.75,0.25,6.93,9.53
48,1999/01,4.75,0.25,6.93,9.53
49,1999/02,4.75,0.25,6.93,9.53
50,1999/03,4.75,0.25,6.93,9.53
51,1999/04,4.75,0.25,6.93,9.53
52,1999/05,4.75,0.25,6.93,4.75
53,1999/06,5.0,0.25,5.85,4.75
54,1999/07,5.0,0.25,5.85,4.75
55,1999/08,5.25,0.25,5.85,4.75
56,1999/09,5.25,0.25,5.85,4.75
57,1999/10,5.25,0.25,5.85,4.75
58,1999/11,5.5,0.25,5.85,4.75
59,1999/12,5.5,0.25,5.85,4.75
60,2000/01,5.5,0.25,5.85,4.75
61,2000/02,5.75,0.25,5.85,5.0
62,2000/03,6.0,0.25,5.85,5.0
63,2000/04,6.0,0.25,5.85,5.0
64,2000/05,6.5,0.25,5.85,5.0
65,2000/06,6.5,0.25,5.85,5.0
66,2000/07,6.5,0.25,5.85,5.0
67,2000/08,6.5,0.25,5.85,5.0
68,2000/09,6.5,0.25,5.85,5.0
69,2000/10,6.5,0.25,5.85,5.25
70,2000/11,6.5,0.25,5.85,5.25
71,2000/12,6.5,0.25,5.85,5.25
72,2001/01,5.5,0.25,5.85,5.25
73,2001/02,5.5,0.15,5.85,5.0
74,2001/03,5.0,0.15,5.85,5.0
75,2001/04,4.5,0.15,5.85,5.0
76,2001/05,4.0,0.15,5.85,5.0
77,2001/06,3.75,0.15,5.85,5.0
78,2001/07,3.75,0.15,5.85,4.75
79,2001/08,3.5,0.15,5.85,4.5
80,2001/09,3.0,0.15,5.85,4.0
81,2001/10,2.5,0.15,5.85,4.0
82,2001/11,2.0,0.15,5.85,4.0
83,2001/12,1.75,0.15,5.85,4.0
84,2002/01,1.75,0.15,5.85,4.0
85,2002/02,1.75,0.15,5.31,4.0
86,2002/03,1.75,0.15,5.31,4.0
87,2002/04,1.75,0.15,5.31,4.0
88,2002/05,1.75,0.15,5.31,4.25
89,2002/06,1.75,0.15,5.31,4.25
90,2002/07,1.75,0.15,5.31,4.25
91,2002/08,1.75,0.15,5.31,4.25
92,2002/09,1.75,0.15,5.31,4.25
93,2002/10,1.75,0.15,5.31,4.25
94,2002/11,1.25,0.15,5.31,4.25
95,2002/12,1.25,0.15,5.31,4.25
96,2003/01,1.25,0.15,5.31,4.25
97,2003/02,1.25,0.15,5.31,4.25
98,2003/03,1.25,0.15,5.31,4.25
99,2003/04,1.25,0.15,5.31,4.25
100,2003/05,1.25,0.15,5.31,4.0
101,2003/06,1.0,0.15,5.31,4.0
102,2003/07,1.0,0.15,5.31,3.75
103,2003/08,1.0,0.15,5.31,3.75
104,2003/09,1.0,0.15,5.31,3.75
105,2003/10,1.0,0.15,5.31,3.75
106,2003/11,1.0,0.15,5.31,3.75
107,2003/12,1.0,0.15,5.31,3.75
108,2004/01,1.0,0.15,5.31,3.75
109,2004/02,1.0,0.15,5.31,3.75
110,2004/03,1.0,0.15,5.31,3.75
111,2004/04,1.0,0.15,5.31,3.75
112,2004/05,1.0,0.15,5.31,3.75
113,2004/06,1.25,0.15,5.31,3.75
114,2004/07,1.25,0.15,5.31,3.75
115,2004/08,1.5,0.15,5.31,3.5
116,2004/09,1.75,0.15,5.31,3.5
117,2004/10,1.75,0.15,5.58,3.5
118,2004/11,2.0,0.15,5.58,3.25
119,2004/12,2.25,0.15,5.58,3.25
120,2005/01,2.25,0.15,5.58,3.25
121,2005/02,2.5,0.15,5.58,3.25
122,2005/03,2.75,0.15,5.58,3.25
123,2005/04,2.75,0.15,5.58,3.25
124,2005/05,3.0,0.15,5.58,3.25
125,2005/06,3.25,0.15,5.58,3.25
126,2005/07,3.25,0.15,5.58,3.25
127,2005/08,3.5,0.15,5.58,3.25
128,2005/09,3.75,0.15,5.58,3.25
129,2005/10,3.75,0.15,5.58,3.5
130,2005/11,4.0,0.15,5.58,3.5
131,2005/12,4.25,0.15,5.58,3.75
132,2006/01,4.5,0.15,5.58,3.75
